Name	Photo																	
apples	https://s3.amazonaws.com/assets.cce.cornell.edu/images/8221/original/apple.jpg?1428438504																	
bakery	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24345/original/bakery850x425.jpg?1512758602																	
beans	https://s3.amazonaws.com/assets.cce.cornell.edu/images/10987/original/CDC-dried-beans.jpg?1441902183								GREEN BEANS-SANDY REPP									
beef	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24404/original/beef-steer850x425.jpg?1513182441																	
beer	https://cdn.stocksnap.io/img-thumbs/960w/F15A241D0A.jpg																	
beets	https://s3.amazonaws.com/assets.cce.cornell.edu/images/6/original/Beets_2.jpg?1384983958Screen%20reader%20support%20enabled.																	
blueberries	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24330/original/blueberries850x425.jpg?1512745145																	
bread	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23072/original/breads.jpg?1506457311																	
broccoli/cauliflower	https://s3.amazonaws.com/assets.cce.cornell.edu/images/18587/original/cauliflower.jpg?1484769347																	
cabbage	https://s3.amazonaws.com/assets.cce.cornell.edu/images/12660/original/red-cabbage-850x425.jpg?1452200622																	
carrots	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24332/original/carrots2-850x425.jpg?1512747249																	
cheese	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24427/original/cheese850x425.jpg?1513273829																	
cherries	https://s3.amazonaws.com/assets.cce.cornell.edu/images/260/original/cherries-usda.jpg?1384985896																	
christmas trees	https://images.unsplash.com/photo-1439871846984-851e435a999b?auto=format&fit=crop&w=800&q=80																	
cider	https://cdn.pixabay.com/photo/2015/06/26/08/10/cider-822266_960_720.jpg																	
corn	https://s3.amazonaws.com/assets.cce.cornell.edu/images/259/original/corn-usda-2.jpg?1384985892																	
corn maze	https://cdn.stocksnap.io/img-thumbs/960w/4PWWW3JLH4.jpg																	
desserts	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24337/original/dessert.jpg?1512751056																	
eggplant	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24335/original/eggplant-850x425.jpg?1512748778																	
eggs	https://s3.amazonaws.com/assets.cce.cornell.edu/images/2309/original/eggs-from-Matt.jpg?1403730529																	
fiber	https://s3.amazonaws.com/assets.cce.cornell.edu/images/26/original/fibers-farm-city-day.jpg?1384984098																	
flowers	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24338/original/sunflowers850x425.jpg?1512751444																	
garlic	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24334/original/GARLIC850X425.jpg?1512748276																	
goat	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24336/original/meat-goats850x425.jpg?1512750192																	
grains	http://maxpixel.freegreatpicture.com/static/photo/2x/Field-Arable-Oats-Cereals-Grain-Oat-Field-8948.jpg																	
grapes	https://s3.amazonaws.com/assets.cce.cornell.edu/images/641/original/grapes-cornell2.png?1392067268																	
greens	https://s3.amazonaws.com/assets.cce.cornell.edu/images/12663/original/greens-usda850x425.jpg?1452201243																	
hard cider	https://images.unsplash.com/photo-1497008877485-d4fdb500367b?auto=format&fit=crop&w=1350&q=80																	
hay	https://images.unsplash.com/photo-1437252611977-07f74518abd7?auto=format&fit=crop&w=1267&q=80																	
hay rides	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24432/original/hayride850x425.jpg?1513277005																	
herbs	https://s3.amazonaws.com/assets.cce.cornell.edu/images/3731/original/IMG_1666.JPG?1409319448																	
honey	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23071/original/bees-honeycomb.jpg?1506456926																	
horse boarding	https://images.pexels.com/photos/40385/horse-s-back-ride-horse-saddle-40385.jpeg?w=1260&h=750&auto=compress&cs=tinysrgb							https://cdn.pixabay.com/photo/2017/09/16/18/13/horse-2756293_960_720.jpg					https://cdn.pixabay.com/photo/2016/09/20/03/16/horse-1681714_960_720.jpg					https://cdn.pixabay.com/photo/2017/09/22/20/04/horse-2776880_960_720.jpg
horse riding	https://cdn.pixabay.com/photo/2016/12/27/22/50/riding-1935051_960_720.jpg							https://cdn.pixabay.com/photo/2017/12/27/22/18/sports-3043980_960_720.jpg										
ice cream	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24435/original/ice-cream-cones850x425.jpg?1513278607																	
lamb	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24403/original/lamb850x425.jpg?1513182011																	
livestock	https://images.pexels.com/photos/59863/sheep-white-lambs-goats-59863.jpeg?w=1260&h=750&auto=compress&cs=tinysrgb																	
maple syrup	https://s3.amazonaws.com/assets.cce.cornell.edu/images/23070/original/maple-syrup.jpg?1506456576																	
mead	https://cdn.stocksnap.io/img-thumbs/960w/FADBC51B8C.jpg																	
melons	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24341/original/watermelon.jpg?1512752893																	
milk	https://images.pexels.com/photos/8567/milk.jpg?w=1260&h=750&auto=compress&cs=tinysrgb																	
mushrooms	https://s3.amazonaws.com/assets.cce.cornell.edu/images/3730/original/IMG_1656.JPG?1409319387																	
music/entertainment	https://cdn.stocksnap.io/img-thumbs/960w/EOG6UD4Z29.jpg																	
nursery plants	https://images.unsplash.com/photo-1470725756322-4c67ecd0f676?auto=format&fit=crop&w=1352&q=80																	
nuts	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24415/original/walnuts850x425.jpg?1513198111																	
okra	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24418/original/okra850x425.jpg?1513200529																	
onions/garlic	https://s3.amazonaws.com/assets.cce.cornell.edu/images/19/original/onions.JPG?1384984047																	
overnight accommodations	https://images.unsplash.com/photo-1506730447-7683abca8434																	
peaches/apricots	https://s3.amazonaws.com/assets.cce.cornell.edu/images/8492/original/apricots.jpg?1429888198																	
pears	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24343/original/pears850x425.jpg?1512754441																	
peppers	https://s3.amazonaws.com/assets.cce.cornell.edu/images/8488/original/peppers.jpg?1429887275																	
petting zoo	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24437/original/petting-alpaca850x425.jpg?1513279559																	
plums	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24342/original/PLUMS.jpg?1512753955																	
pork	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24413/original/pig-mountain-850x425.jpg?1513196262																	
potatoes	https://s3.amazonaws.com/assets.cce.cornell.edu/images/735/original/yellow-potatoes.jpg?1393607441																	
poultry	https://s3.amazonaws.com/assets.cce.cornell.edu/images/266/original/chickens-usda.jpg?1384985925																	
prepared food	https://images.unsplash.com/photo-1438001394654-f4837ea93ea2?auto=format&fit=crop&w=1350&q=80																	
pumpkins/gourds	https://s3.amazonaws.com/assets.cce.cornell.edu/images/4351/original/shirleys-pumpkin.jpg?1412266176																	
raspberries/blackberries	https://s3.amazonaws.com/assets.cce.cornell.edu/images/1497/original/1280px-Fresh_raspberries_(272567650).jpg?1401215693																	
skincare/home products	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24439/original/skin-care850x425.jpg?1513279810																	
specialty fruits	https://s3.amazonaws.com/assets.cce.cornell.edu/images/17254/original/gooseberries850x425.jpg?1476458945																	
specialty meats	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24442/original/bison850x425.jpg?1513280724																	
specialty shops	https://images.pexels.com/photos/159991/pexels-photo-159991.jpeg?w=1260&h=750&auto=compress&cs=tinysrgb																	
specialty vegetables 	https://s3.amazonaws.com/assets.cce.cornell.edu/images/18/original/kohlrabi.JPG?1384984042																	
squash	https://s3.amazonaws.com/assets.cce.cornell.edu/images/10470/original/squash-gourds-lindsay-france.jpg?1438712546																	
strawberries	https://s3.amazonaws.com/assets.cce.cornell.edu/images/12655/original/strawberries-usda-850x425.jpg?1452199672																	
tomatoes	https://s3.amazonaws.com/assets.cce.cornell.edu/images/3735/original/tomatoes2.jpg?1409319824																	
venue rental	https://cdn.stocksnap.io/img-thumbs/960w/3S3LT750NH.jpg																	
wine	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24440/original/white-wine850x425.jpg?1513280028																	
yogurt	https://s3.amazonaws.com/assets.cce.cornell.edu/images/24430/original/yogurt850x425.jpg?1513275199																	
zucchini 	https://s3.amazonaws.com/assets.cce.cornell.edu/images/12649/original/squash-usda850x425.jpg?1452197933																	